"Module"	"Gene1"	"Gene2"
"M1"	"GNB3"	"NFATC4"
"M1"	"GNB3"	"CDK19"
"M1"	"GNB3"	"POLR1D"
"M1"	"GNB3"	"TCF21"
"M1"	"GNB3"	"PTP4A1"
"M1"	"GNB3"	"IPO11"
"M1"	"GNB3"	"RELA"
"M1"	"GNB3"	"CDC5L"
"M1"	"GNB3"	"SKA1"
"M1"	"GNB3"	"MMADHC"
"M1"	"GNB3"	"ZHX2"
"M1"	"GNB3"	"SNX5"
"M1"	"GNB3"	"GTF2H4"
"M1"	"APOH"	"NRL"
"M1"	"MRPS12"	"FOXA1"
"M1"	"MRPS12"	"RIMBP2"
"M1"	"MRPS12"	"TNNC1"
"M1"	"RNF144A"	"DLGAP2"
"M1"	"CACNG2"	"EPHB6"
"M1"	"MYOT"	"SREBF2"
"M1"	"MYOT"	"RIC8A"
"M1"	"MYOT"	"ANGPT4"
"M1"	"MYOT"	"WDR26"
"M1"	"MYOT"	"C1QA"
"M1"	"MYOT"	"IL1A"
"M1"	"MYOT"	"CRP"
"M1"	"MYOT"	"RNF126"
"M1"	"GUCY2D"	"MTM1"
"M1"	"GUCY2D"	"HNRNPLL"
"M1"	"GUCY2D"	"RPS27L"
"M1"	"GUCY2D"	"RPS12"
"M1"	"GUCY2D"	"NEU1"
"M1"	"GUCY2D"	"A1BG"
"M1"	"GUCY2D"	"RHPN2"
"M1"	"GUCY2D"	"PTP4A1"
"M1"	"GUCY2D"	"PEMT"
"M1"	"GUCY2D"	"XK"
"M1"	"GUCY2D"	"SRCIN1"
"M1"	"GUCY2D"	"COPS7A"
"M1"	"GUCY2D"	"HERC1"
"M1"	"GUCY2D"	"ZFP36"
"M1"	"GUCY2D"	"VWF"
"M1"	"GUCY2D"	"TFAP2A"
"M1"	"GUCY2D"	"RSPO4"
"M1"	"GUCY2D"	"CDK13"
"M1"	"GUCY2D"	"PICK1"
"M1"	"GHR"	"PALMD"
"M1"	"NRL"	"FBXW11"
"M1"	"NRL"	"PADI4"
"M1"	"NRL"	"REV1"
"M1"	"NRL"	"ERCC8"
"M1"	"NRL"	"IL18"
"M1"	"NRL"	"GRIA2"
"M1"	"NRL"	"ADORA1"
"M1"	"NRL"	"GOT1"
"M1"	"NRL"	"RALB"
"M1"	"TLN1"	"BMP7"
"M1"	"TLN1"	"ATP6V1C2"
"M1"	"RS1"	"PTPRN"
"M1"	"RS1"	"SYTL4"
"M1"	"RS1"	"FOLR3"
"M1"	"RS1"	"PTP4A1"
"M1"	"RS1"	"YIPF3"
"M1"	"RS1"	"ZNF689"
"M1"	"RS1"	"ANP32A"
"M1"	"RS1"	"HLA-A"
"M1"	"RS1"	"ITGAV"
"M1"	"RS1"	"PATE3"
"M1"	"RS1"	"CDC23"
"M1"	"RS1"	"TRHR"
"M1"	"RS1"	"DUSP23"
"M1"	"RS1"	"TRIM38"
"M1"	"RS1"	"MIF"
"M1"	"RS1"	"MLF2"
"M1"	"XRN2"	"CCIN"
"M1"	"ATG16L2"	"RIMBP2"
"M1"	"MRPL4"	"ART3"
"M1"	"HIST1H4B"	"CDK5R2"
"M1"	"ANKRD13C"	"FOXA1"
"M1"	"ANKRD13C"	"TNNC1"
"M1"	"ANKRD13C"	"CDK5R2"
"M1"	"HEY1"	"PKP1"
"M1"	"HEY1"	"POTEE"
"M1"	"HTR1B"	"BTG1"
"M1"	"HTR1B"	"POU3F4"
"M1"	"HTR1B"	"GET4"
"M1"	"HTR1B"	"GATA5"
"M1"	"HTR1B"	"PTP4A1"
"M1"	"HTR1B"	"BUB1B"
"M1"	"HTR1B"	"LNP1"
"M1"	"HTR1B"	"KRT73"
"M1"	"HTR1B"	"POLR3A"
"M1"	"HTR1B"	"RUFY2"
"M1"	"HTR1B"	"EPHA7"
"M1"	"HTR1B"	"CREBZF"
"M1"	"HTR1B"	"PPP1R9B"
"M1"	"HTR1B"	"CLNS1A"
"M1"	"HTR1B"	"MYBL2"
"M1"	"HTR1B"	"PEMT"
"M1"	"HTR1B"	"FAR1"
"M1"	"HTR1B"	"MMACHC"
"M1"	"HTR1B"	"CDH3"
"M1"	"HTR1B"	"ASCC3"
"M1"	"HTR1B"	"RPL18"
"M1"	"HTR1B"	"HOXA3"
"M1"	"HTR1B"	"PTTG1"
"M1"	"HTR1B"	"MAP1LC3A"
"M1"	"HTR1B"	"HECW1"
"M1"	"HTR1B"	"FAM111B"
